"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-30","0.00","0.0",,"68","45"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-31","0.00","0.0",,"70","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-01","0.00","0.0",,"79","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-02","0.00","0.0",,"84","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-03","0.00","0.0",,"88","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-04","0.00","0.0",,"87","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-05","0.00","0.0",,"85","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-06","0.00","0.0",,"83","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-07","0.14","0.0",,"78","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-08","0.04","0.0",,"82","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-09","0.98","0.0",,"67","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-10","0.29","0.0",,"59","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-11","0.00","0.0",,"64","44"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-12","0.04","0.0",,"66","41"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-13","0.13","0.0",,"70","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-14","0.00","0.0",,"72","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-15","0.00","0.0",,"73","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-16","0.00","0.0",,"75","49"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-17","0.00","0.0",,"80","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-18","0.00","0.0",,"82","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-19","0.00","0.0",,"83","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-20","0.00","0.0",,"87","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-21","0.00","0.0",,"94","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-22","0.00","0.0",,"95","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-23","0.00","0.0",,"96","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-24","0.00","0.0",,"98","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-25","0.00","0.0",,"98","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-26","0.01","0.0",,"103","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-27","0.00","0.0",,"98","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-28","0.00","0.0",,"90","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-29","0.00","0.0",,"78","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-30","0.00","0.0",,"75","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-01","0.00","0.0",,"86","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-02","0.00","0.0",,"94","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-03","0.00","0.0",,"96","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-04","0.00","0.0",,"99","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-05","0.00","0.0",,"95","69"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-06","0.00","0.0",,"92","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-07","0.00","0.0",,"91","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-08","0.00","0.0",,"93","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-09","0.00","0.0",,"82","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-10","0.03","0.0",,"88","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-11","0.00","0.0",,"85","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-12","0.00","0.0",,"90","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-13","0.00","0.0",,"95","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-14","0.00","0.0",,"88","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-15","0.00","0.0",,"97","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-16","0.00","0.0",,"98","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-17","0.02","0.0",,"99","69"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-18","0.00","0.0",,"99","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-19","0.00","0.0",,"96","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-20","0.00","0.0",,"100","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-21","0.20","0.0",,"88","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-22","0.31","0.0",,"84","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-23","0.00","0.0",,"84","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-24","0.00","0.0",,"86","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-25","0.05","0.0",,"91","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-26","0.00","0.0",,"90","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-27","0.02","0.0",,"85","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-28","0.00","0.0",,"90","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-29","0.00","0.0",,"92","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-30","0.23","0.0",,"88","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-07-31","0.00","0.0",,"94","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-01","0.00","0.0",,"100","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-02","0.00","0.0",,"96","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-03","0.00","0.0",,"94","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-04","0.00","0.0",,"88","68"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-05","0.01","0.0",,"90","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-06","0.00","0.0",,"91","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-07","0.00","0.0",,"98","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-08","0.00","0.0",,"94","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-09","0.00","0.0",,"90","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-10","0.00","0.0",,"95","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-11","0.00","0.0",,"99","57"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-12","0.00","0.0",,"98","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-13","0.00","0.0",,"99","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-14","0.03","0.0",,"93","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-15","0.00","0.0",,"93","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-16","0.00","0.0",,"95","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-17","0.00","0.0",,"91","68"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-18","0.00","0.0",,"93","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-19","0.00","0.0",,"84","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-20","0.00","0.0",,"89","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-08-21","0.00","0.0",,"88","60"
